155 93
3 5
2 37 88 
3 38 89 
4 39 90 
5 40 91 
6 41 92 
7 42 93 
8 43 63 
9 44 64 
10 45 65 
11 46 66 
12 47 67 
13 48 68 
14 49 69 
15 50 70 
16 51 71 
17 52 72 
18 53 73 
19 54 74 
20 55 75 
21 56 76 
22 57 77 
23 58 78 
24 59 79 
25 60 80 
26 61 81 
27 62 82 
28 32 83 
29 33 84 
30 34 85 
31 35 86 
1 36 87 
3 42 82 
4 43 83 
5 44 84 
6 45 85 
7 46 86 
8 47 87 
9 48 88 
10 49 89 
11 50 90 
12 51 91 
13 52 92 
14 53 93 
15 54 63 
16 55 64 
17 56 65 
18 57 66 
19 58 67 
20 59 68 
21 60 69 
22 61 70 
23 62 71 
24 32 72 
25 33 73 
26 34 74 
27 35 75 
28 36 76 
29 37 77 
30 38 78 
31 39 79 
1 40 80 
2 41 81 
5 52 70 
6 53 71 
7 54 72 
8 55 73 
9 56 74 
10 57 75 
11 58 76 
12 59 77 
13 60 78 
14 61 79 
15 62 80 
16 32 81 
17 33 82 
18 34 83 
19 35 84 
20 36 85 
21 37 86 
22 38 87 
23 39 88 
24 40 89 
25 41 90 
26 42 91 
27 43 92 
28 44 93 
29 45 63 
30 46 64 
31 47 65 
1 48 66 
2 49 67 
3 50 68 
4 51 69 
9 41 77 
10 42 78 
11 43 79 
12 44 80 
13 45 81 
14 46 82 
15 47 83 
16 48 84 
17 49 85 
18 50 86 
19 51 87 
20 52 88 
21 53 89 
22 54 90 
23 55 91 
24 56 92 
25 57 93 
26 58 63 
27 59 64 
28 60 65 
29 61 66 
30 62 67 
31 32 68 
1 33 69 
2 34 70 
3 35 71 
4 36 72 
5 37 73 
6 38 74 
7 39 75 
8 40 76 
17 50 91 
18 51 92 
19 52 93 
20 53 63 
21 54 64 
22 55 65 
23 56 66 
24 57 67 
25 58 68 
26 59 69 
27 60 70 
28 61 71 
29 62 72 
30 32 73 
31 33 74 
1 34 75 
2 35 76 
3 36 77 
4 37 78 
5 38 79 
6 39 80 
7 40 81 
8 41 82 
9 42 83 
10 43 84 
11 44 85 
12 45 86 
13 46 87 
14 47 88 
15 48 89 
16 49 90 
