200 100
3 6
1 61 81 
2 62 82 
3 63 83 
4 64 84 
5 65 85 
6 66 86 
7 67 87 
8 68 88 
9 69 89 
10 70 90 
11 71 91 
12 72 92 
13 73 93 
14 74 94 
15 75 95 
16 76 96 
17 77 97 
18 78 98 
19 79 99 
20 80 100 
1 21 100 
2 22 81 
3 23 82 
4 24 83 
5 25 84 
6 26 85 
7 27 86 
8 28 87 
9 29 88 
10 30 89 
11 31 90 
12 32 91 
13 33 92 
14 34 93 
15 35 94 
16 36 95 
17 37 96 
18 38 97 
19 39 98 
20 40 99 
1 30 41 
2 31 42 
3 32 43 
4 33 44 
5 34 45 
6 35 46 
7 36 47 
8 37 48 
9 38 49 
10 39 50 
11 40 51 
12 21 52 
13 22 53 
14 23 54 
15 24 55 
16 25 56 
17 26 57 
18 27 58 
19 28 59 
20 29 60 
21 55 68 
22 56 69 
23 57 70 
24 58 71 
25 59 72 
26 60 73 
27 41 74 
28 42 75 
29 43 76 
30 44 77 
31 45 78 
32 46 79 
33 47 80 
34 48 61 
35 49 62 
36 50 63 
37 51 64 
38 52 65 
39 53 66 
40 54 67 
1 46 67 
2 47 68 
3 48 69 
4 49 70 
5 50 71 
6 51 72 
7 52 73 
8 53 74 
9 54 75 
10 55 76 
11 56 77 
12 57 78 
13 58 79 
14 59 80 
15 60 61 
16 41 62 
17 42 63 
18 43 64 
19 44 65 
20 45 66 
21 69 86 
22 70 87 
23 71 88 
24 72 89 
25 73 90 
26 74 91 
27 75 92 
28 76 93 
29 77 94 
30 78 95 
31 79 96 
32 80 97 
33 61 98 
34 62 99 
35 63 100 
36 64 81 
37 65 82 
38 66 83 
39 67 84 
40 68 85 
1 57 94 
2 58 95 
3 59 96 
4 60 97 
5 41 98 
6 42 99 
7 43 100 
8 44 81 
9 45 82 
10 46 83 
11 47 84 
12 48 85 
13 49 86 
14 50 87 
15 51 88 
16 52 89 
17 53 90 
18 54 91 
19 55 92 
20 56 93 
1 31 72 
2 32 73 
3 33 74 
4 34 75 
5 35 76 
6 36 77 
7 37 78 
8 38 79 
9 39 80 
10 40 61 
11 21 62 
12 22 63 
13 23 64 
14 24 65 
15 25 66 
16 26 67 
17 27 68 
18 28 69 
19 29 70 
20 30 71 
21 60 96 
22 41 97 
23 42 98 
24 43 99 
25 44 100 
26 45 81 
27 46 82 
28 47 83 
29 48 84 
30 49 85 
31 50 86 
32 51 87 
33 52 88 
34 53 89 
35 54 90 
36 55 91 
37 56 92 
38 57 93 
39 58 94 
40 59 95 
41 73 83 
42 74 84 
43 75 85 
44 76 86 
45 77 87 
46 78 88 
47 79 89 
48 80 90 
49 61 91 
50 62 92 
51 63 93 
52 64 94 
53 65 95 
54 66 96 
55 67 97 
56 68 98 
57 69 99 
58 70 100 
59 71 81 
60 72 82 
1 21 41 81 121 141 
2 22 42 82 122 142 
3 23 43 83 123 143 
4 24 44 84 124 144 
5 25 45 85 125 145 
6 26 46 86 126 146 
7 27 47 87 127 147 
8 28 48 88 128 148 
9 29 49 89 129 149 
10 30 50 90 130 150 
11 31 51 91 131 151 
12 32 52 92 132 152 
13 33 53 93 133 153 
14 34 54 94 134 154 
15 35 55 95 135 155 
16 36 56 96 136 156 
17 37 57 97 137 157 
18 38 58 98 138 158 
19 39 59 99 139 159 
20 40 60 100 140 160 
21 52 61 101 151 161 
22 53 62 102 152 162 
23 54 63 103 153 163 
24 55 64 104 154 164 
25 56 65 105 155 165 
26 57 66 106 156 166 
27 58 67 107 157 167 
28 59 68 108 158 168 
29 60 69 109 159 169 
30 41 70 110 160 170 
31 42 71 111 141 171 
32 43 72 112 142 172 
33 44 73 113 143 173 
34 45 74 114 144 174 
35 46 75 115 145 175 
36 47 76 116 146 176 
37 48 77 117 147 177 
38 49 78 118 148 178 
39 50 79 119 149 179 
40 51 80 120 150 180 
41 67 96 125 162 181 
42 68 97 126 163 182 
43 69 98 127 164 183 
44 70 99 128 165 184 
45 71 100 129 166 185 
46 72 81 130 167 186 
47 73 82 131 168 187 
48 74 83 132 169 188 
49 75 84 133 170 189 
50 76 85 134 171 190 
51 77 86 135 172 191 
52 78 87 136 173 192 
53 79 88 137 174 193 
54 80 89 138 175 194 
55 61 90 139 176 195 
56 62 91 140 177 196 
57 63 92 121 178 197 
58 64 93 122 179 198 
59 65 94 123 180 199 
60 66 95 124 161 200 
1 74 95 113 150 189 
2 75 96 114 151 190 
3 76 97 115 152 191 
4 77 98 116 153 192 
5 78 99 117 154 193 
6 79 100 118 155 194 
7 80 81 119 156 195 
8 61 82 120 157 196 
9 62 83 101 158 197 
10 63 84 102 159 198 
11 64 85 103 160 199 
12 65 86 104 141 200 
13 66 87 105 142 181 
14 67 88 106 143 182 
15 68 89 107 144 183 
16 69 90 108 145 184 
17 70 91 109 146 185 
18 71 92 110 147 186 
19 72 93 111 148 187 
20 73 94 112 149 188 
1 22 116 128 166 199 
2 23 117 129 167 200 
3 24 118 130 168 181 
4 25 119 131 169 182 
5 26 120 132 170 183 
6 27 101 133 171 184 
7 28 102 134 172 185 
8 29 103 135 173 186 
9 30 104 136 174 187 
10 31 105 137 175 188 
11 32 106 138 176 189 
12 33 107 139 177 190 
13 34 108 140 178 191 
14 35 109 121 179 192 
15 36 110 122 180 193 
16 37 111 123 161 194 
17 38 112 124 162 195 
18 39 113 125 163 196 
19 40 114 126 164 197 
20 21 115 127 165 198 
